@relation 'Company-weka.filters.unsupervised.attribute.DateToNumeric-R1,2-weka.filters.unsupervised.attribute.MathExpression-Ea1 - a2-V-R1,2-weka.filters.unsupervised.attribute.NumericToNominal-R2-last-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,63-weka.filters.unsupervised.attribute.Remove-R2-61'

@attribute form-time-for-compeltion numeric
@attribute q61 {-100,-33,33,100}
@attribute q63 {'2,4,6','1,2,4','1,2,3',2,'1,2,5','2,4','1,2,6','1,2',1,'2,4,5',6,'1,5,6','2,3,4','1,3,5','2,6','1,3,4',3,'1,4,6','1,3,6','1,2,7','2,3,6','2,6,7','1,4,5','1,6','6,7','1,4,7','1,4','3,4,6',4,'2,4,7','4,5,7','4,6','1,7','2,3,5','2,3','1,5','2,3,7','1,3','2,5,6','2,5','3,6,7','2,7','1,6,7',7,'3,6','4,7','5,6,7','1,3,7','3,4,5','3,4','5,6',5,'4,5','4,6,7','3,5,6','1,5,7','4,5,6','3,4,7','3,5','3,7','2,5,7','3,5,7','5,7'}
@attribute q64 {'1,3',3,'3,6,8',1,'1,3,8','3,8','3,7,8','3,6','1,3,6',8,'1,3,7','3,5','1,3,5','3,5,6','2,3','1,6,7',5,'2,5','1,2,8','1,7','1,5','1,5,8','3,6,7',2,'3,5,7','1,6','1,2,3','1,2,5','1,5,7','1,5,6','6,8','2,3,7',7,'3,5,8','1,2,6','5,7,8','1,8','2,3,8','6,7,8','2,3,6','1,6,8','1,2,7','2,5,7','2,5,6','2,6,7','6,7',6,'7,8','1,2','5,6,7','1,7,8','5,6,8','2,5,8','2,7','2,7,8','3,7','2,3,5','5,8','2,8','2,6','2,6,8','5,6','5,7'}
@attribute q65 {'2,3,7','4,7',5,'2,3,5','3,5,7','1,4,7',7,'6,7','1,5,6','5,6','2,7','5,6,7','1,2',3,'2,4','2,3,6','2,3,4','2,5,7','1,2,6','1,7',1,'2,5,6','2,6,7','2,4,7','4,6,7','3,5,6','3,7','5,7',2,'1,2,7','1,6,7','2,3','4,5,7','3,5','1,2,4','1,2,5','3,6','2,4,6','2,5','3,4,7','2,4,5','3,4','1,5,7','1,4','3,4,5','4,6','3,6,7','1,3,4','1,3,5','1,3,6','3,4,6',4,6,'1,2,3','1,3,7','4,5,6','2,6','4,5','1,4,6','1,5','1,4,5','1,3','1,6'}
@attribute q66 {'2,7','1,2','1,7','1,3,7','1,2,5','2,3,4',7,'3,7','1,2,3','1,3','1,4,7','1,5','2,3,7',1,'3,4','2,5,7','1,3,5','1,2,7',3,'3,5,7','4,7','3,4,7','3,4,5','3,6,7','5,7','1,3,4','1,4,5','2,4,7','1,4','1,3,6',5,'5,6,7',4,'2,3,5','1,4,6','4,6','4,6,7','4,5,7','2,4,6','2,3','3,6','5,6','1,5,7',2,'1,2,4','3,4,6','2,6','1,5,6','2,4,5','3,5',6,'2,3,6','1,6,7','4,5','6,7','2,6,7','4,5,6','1,6','3,5,6','2,4','2,5','1,2,6','2,5,6'}
@attribute q67 {'2,3','1,2',5,'1,2,3','2,3,7','2,3,6',4,'2,8','1,3,5','1,2,4','1,4,7','2,3,4','2,4',1,'1,4,8','3,4,5','1,3,8','1,4,5','1,5,7','2,5','4,5,6','1,2,5','1,3,7','3,4','3,4,6','2,6,7',3,'2,3,8','1,3','1,2,6',8,'7,8','3,5,6',6,7,'2,3,5','1,7,8',2,'1,6','3,4,8','3,5,7','2,4,8','4,6,8','1,3,4','1,5,8','5,6','4,6,7','1,5','5,6,8','3,5','2,5,8','4,5,7','5,7,8','1,2,8','5,7','2,4,5','3,5,8','2,5,6','4,8','3,4,7','4,5,8','5,8','3,7,8','1,4,6','1,3,6','2,5,7','2,7','1,6,8','2,4,6','1,4','3,7','2,4,7','4,7,8','6,7,8','1,5,6','3,6,8','1,8','4,5','5,6,7','2,7,8','6,7','2,6,8','4,7','1,2,7','3,8','1,7','3,6,7','3,6','6,8','2,6','1,6,7','4,6'}
@attribute q68 {1,2,3}
@attribute q69 {1,2,3,4,5,6}
@attribute q70 {1,2,3,4,5,6,7,8,9}
@attribute q71 {1,2}
@attribute q72 {1,2}
@attribute q73 {'1,3',3,1,2,'2,5',6,4,5,'1,2','1,5','1,4','1,3,5','3,5','4,5','5,6','1,2,5','1,4,5','1,2,3,5','1,6','2,3','3,6','1,5,6','2,6','1,2,3,4,5,6','4,6','1,2,6','1,3,4','1,2,3','2,4'}
@attribute q74 {'3,4',4,5,'1,4',2,3,'1,2,4',1,'1,2','1,3','2,3','1,3,4','2,4','3,5','1,2,3','2,3,4','1,2,3,4','2,5','1,2,3,4,5','1,3,5','4,5','1,4,5','2,4,5','1,2,5','3,4,5','1,5'}
@attribute q62 {-100,-33,33,100}

@data
14332000,33,'1,2',3,5,7,1,3,3,5,2,2,3,'2,4',33
14342000,33,'2,4,6','2,3,6','2,4,7','3,4,6','1,4,7',3,4,9,2,1,6,5,100
14372000,33,'2,4,6','2,6,8','2,3,7','1,4,7','1,7,8',3,5,6,2,2,2,1,100
14373000,33,'1,4,6','1,6,8','2,3,6','4,5,7','2,3,5',3,1,6,2,2,1,4,33
14394000,33,2,8,5,4,4,2,3,6,2,1,2,3,100
14396000,33,'1,2,3','1,5,8','3,5,7','4,5,6','1,5,7',3,2,2,2,1,6,4,-33
14410000,100,'1,2,4','1,3,6','3,5,7','3,4,7','1,3,4',2,3,5,2,1,2,1,100
14417000,33,1,'1,3,8','1,5,7','2,3,4','5,6,8',2,5,5,2,1,3,4,33
14426000,33,2,5,'2,5','1,5,7','2,5,7',3,2,9,2,2,6,5,33
14492000,33,'1,2,4','1,5,6','4,5,7','1,2,3','2,4,8',3,2,4,2,2,3,2,100
14510000,33,'1,3,6','1,3,8','5,6,7','5,6,7','4,5,8',3,4,2,2,2,2,4,100
14527000,-33,'1,2,4','1,8','5,7','1,2,5','3,5,6',3,4,8,2,1,6,4,-100
14541000,100,'1,2,3','1,3,8','5,6,7','5,6,7','3,4,5',2,4,5,2,2,2,4,100
14557000,100,'1,2',1,7,1,1,2,2,5,2,2,4,'1,4',33
14560000,33,'2,3,4',8,3,7,2,3,3,6,2,1,6,5,33
14581000,100,'1,2,3','1,3,8','3,5,7','1,5,7','2,4,5',2,6,6,2,2,2,5,100
14602000,100,3,3,7,3,'3,4,5',2,6,4,2,1,6,4,100
14612000,-33,7,8,7,'4,6','2,3,4',2,3,9,2,1,5,2,-33
14617000,100,'1,3','6,7','1,2,5','1,2,4','2,8',2,3,3,2,2,3,1,100
14621000,100,2,8,7,1,8,3,5,9,2,1,6,5,100
14692000,33,2,'1,5,8','2,4,7','2,3,7','2,3,5',2,5,7,2,2,2,4,33
14708000,33,'4,6',3,'2,3',7,8,3,1,4,2,2,3,5,-100
14778000,33,1,1,3,'1,7','4,5,8',2,5,5,2,2,3,'1,2',33
14800000,33,'2,3,4','1,5,8','2,3,4','4,5,7','1,2,5',3,2,7,2,2,6,4,33
14803000,100,'1,3,6','1,6,7','1,3,7','1,5,7','1,2,7',3,1,3,2,1,2,4,100
14851000,33,'1,2,3','1,6,7','1,5,7','1,5,6','1,5,8',3,4,6,2,1,6,4,-100
14853000,100,'1,2,3','1,6,7','2,6,7','3,4,7','1,3,6',3,3,3,2,1,3,5,100
14861000,33,'2,4,6','1,2,5','2,3,6','1,2,5','1,2,5',2,6,7,2,1,6,5,33
14876000,33,'1,2,3','1,3,5','4,5,7','2,5,7','2,3,4',2,5,6,2,1,2,'3,4',100
14882000,100,'1,2,4',8,'5,6,7','2,7','2,5',2,2,3,2,2,'1,2','1,4',100
14898000,100,'1,2','2,3,5',5,'1,3,5','1,4',3,5,6,2,2,3,5,100
15011000,33,'1,2,4','1,3,7','5,6,7','1,2,3','5,7,8',2,5,6,2,1,2,1,100
15012000,100,'2,3,4',6,'2,7','1,4','4,5',2,5,4,2,1,'2,5',1,100
15034000,33,'1,2,4',1,5,1,7,3,3,3,2,1,6,1,100
15055000,33,'1,2,3','6,8','2,6,7','1,4,7','1,5,8',2,4,4,2,1,3,4,33
15119000,33,'1,2,3','2,3','3,7','2,6,7','1,2,5',2,5,5,2,2,3,4,100
15121000,100,'1,2,5',3,'6,7','3,5','1,5',2,3,5,2,2,3,5,100
15134000,33,'1,2,3','1,2,8','2,6,7','1,5,6','3,5,6',2,3,4,1,1,2,'1,2,4',33
15169000,100,'1,4,6','1,3,6','1,5,7','3,4,5','1,5,7',2,4,4,2,1,6,1,-33
15199000,33,'1,2,3','1,2,6','2,5,6','1,2,5','2,4,5',2,3,2,2,1,2,3,100
15223000,33,'1,3,4','2,5,8',3,'6,7','5,7',3,1,5,2,2,2,'3,4',-100
15244000,33,'1,3,6','1,3,8',7,7,5,2,4,2,2,1,5,1,33
15246000,-33,'1,2,4','1,6,8','2,5,7','1,5,7',3,3,2,6,2,1,5,4,-33
15325000,33,'2,3,4',5,'3,6,7',4,'2,7',3,3,8,2,2,5,4,-33
15358000,100,'1,4','3,5,8','3,7','2,7','1,5,6',2,1,3,2,1,2,4,100
15376000,100,'3,5,7','3,6,7','2,5,6','3,4,5','4,5,7',3,2,7,2,1,6,5,100
15414000,33,'2,4,6','1,6,7','1,5,6','3,4,7','1,4,7',3,2,5,2,2,3,5,33
15435000,100,1,6,6,7,5,3,4,5,2,1,5,1,100
15512000,33,'1,2,4',1,'5,7','1,7','2,4',2,5,3,2,1,6,4,100
15524000,100,'1,2,4','2,3,7','2,6,7','3,5,6','2,4,6',3,2,5,2,1,3,5,100
15534000,33,'1,2,3','1,2,3','2,3,7','4,5,6','2,4,5',3,2,7,2,2,2,4,-33
15547000,-100,4,8,5,7,8,3,2,5,2,2,6,3,-100
15602000,33,1,'6,8','5,7','4,6,7','6,7,8',3,3,3,1,1,5,5,33
15664000,100,5,'1,3,6','6,7',4,4,3,2,3,2,1,2,4,100
15710000,33,2,6,'2,6,7','4,7','3,4,8',2,1,7,2,2,6,1,100
15714000,-33,'1,3,4','1,3,8','2,3,7','1,6,7','1,4,7',3,3,4,2,1,6,3,-33
15720000,33,'1,2,7','1,3,6','2,3,7','1,4,7','2,4,8',3,2,6,2,2,4,4,33
15747000,33,'2,4,5','1,2,3','1,2,5','5,6,7','1,3,5',2,2,6,2,1,3,4,100
15866000,33,'1,2,4','1,3','2,4,5','1,2,7','1,2,4',2,4,6,2,2,4,5,33
15876000,33,'1,2','1,2','2,5,7','1,7','1,2',2,3,4,2,2,3,'1,4',33
15939000,33,'2,4','1,6','2,5',3,1,3,3,6,2,2,6,2,33
15972000,33,2,6,6,7,2,3,2,4,2,2,3,5,100
15992000,33,'1,2,4',1,'2,5,6','1,3,4','1,4,5',3,3,3,2,2,2,5,33
16001000,33,'2,3,4','1,2,3','3,4,5','1,5,7','1,3,5',3,2,3,2,1,5,5,100
16024000,33,'1,2,4','1,3,7','3,5,7','2,4,7','1,4,6',2,4,4,2,1,3,'3,4',33
16050000,33,'2,4',3,7,3,2,3,3,5,2,1,5,5,33
16052000,33,'2,4','1,3,5','2,7','2,4,5','4,5,8',2,3,3,2,2,3,1,100
16062000,100,'1,2,4','1,5,6','3,4,5','1,3,4','1,2,8',3,5,6,2,2,3,4,100
16088000,100,'1,3,5','1,5,8','1,5,7','1,2,5','5,7,8',3,2,2,2,1,5,5,100
16099000,100,'1,3','1,6,7','1,5,6','1,3,5','1,4,8',3,4,4,2,1,3,4,100
16106000,100,'1,2,3','1,6,8','1,6,7','1,6,7','1,4,5',2,2,8,2,2,6,5,100
16126000,33,'1,2','1,5',3,'1,7','7,8',3,5,4,2,2,4,1,33
16176000,100,'1,2,3','1,3,7','1,6,7','2,4,6','1,5,6',3,2,4,2,1,2,4,100
16199000,33,'4,6',8,'2,3','3,4,7','5,7,8',3,2,5,2,1,2,4,-33
16245000,33,'2,4,7','2,3','5,7','4,5,6','1,4,7',2,5,8,2,2,'1,3','1,4',100
16253000,33,'2,3',3,2,1,8,3,5,5,2,2,3,'1,2',33
16264000,100,'2,4','1,8','2,5,6',3,'3,5,7',3,4,9,2,2,6,5,100
16346000,33,'2,4,6',6,3,1,'2,5',3,5,5,2,2,2,'3,4',100
16368000,100,1,'1,6,8','1,5','5,6,7','1,5,7',3,2,5,2,2,6,4,100
16374000,-33,'1,2,6','3,7','3,6,7',7,'1,2,3',2,4,3,1,2,6,4,-33
16375000,33,'2,6','1,3,8','2,3','4,5,7','3,4,8',3,6,5,2,2,3,'1,4',-33
16382000,100,'1,4,7','1,3,8','2,3,5',7,1,2,3,2,2,1,6,4,33
16397000,33,'1,2,4','1,3','2,4,7','2,4','2,3',2,5,4,2,2,'3,5',4,33
16434000,33,'2,6','1,6,8','5,6,7','3,4,7',5,3,3,5,2,2,4,4,33
16460000,-33,'2,4','7,8','3,5','1,2,7','1,4',3,3,4,2,2,3,5,-33
16462000,33,'1,2,4','1,3,5','1,5,7','2,3,4','5,6,8',3,5,5,2,1,2,4,100
16489000,33,'2,3,4','1,2,8','2,6,7','1,6,7','4,5,8',3,4,8,2,2,6,5,33
16604000,33,'1,2,6','1,3,7','2,7','4,5','1,4,8',3,1,6,1,2,4,4,-100
16710000,100,'1,2,3','6,7,8','2,3,5','1,2,7','3,4,5',3,2,2,1,1,5,3,100
16731000,-33,'2,3,4',8,7,'4,6,7','5,7',3,3,7,1,1,3,'3,4',100
16794000,100,'1,5,6','1,2,6','3,4,6','3,4,7','1,2,5',3,4,7,2,2,6,4,100
16847000,-33,6,8,5,5,'1,2,4',2,2,6,2,2,2,'3,4',-100
16851000,100,'1,2,4','6,7,8','2,3,6','3,4,5','1,5,7',3,2,4,2,2,2,5,100
16875000,33,2,1,3,7,3,3,2,3,2,2,2,4,33
16903000,33,1,6,2,2,2,2,2,5,2,2,2,5,-100
16935000,33,'1,2','6,8',7,3,5,2,3,6,2,2,3,4,33
16947000,33,'2,4',1,'3,5','1,7',4,3,3,4,2,1,6,5,33
16974000,33,'1,2,4','3,6,7','1,2,3','1,4,7','1,3,8',2,5,5,2,2,4,4,33
16995000,-33,2,8,7,'1,3,7',7,3,4,6,2,1,3,5,-100
17040000,100,'3,5,6','1,6,8','5,6,7','3,4,6','2,4,8',3,2,4,2,2,'1,2,5',4,100
17062000,100,'1,3,4','3,6,8','2,3,7','2,4,6','2,5,6',2,4,5,2,2,3,'1,2',33
17072000,100,'1,2,4','1,2,6',3,'3,6','2,6',2,2,6,2,2,4,4,100
17083000,100,'2,4,5','1,6,7','2,6,7','3,4,7','1,3,5',3,3,2,2,1,6,1,33
17157000,33,'1,5,6','1,3,7','3,5,6','1,3,7','1,2,5',2,4,5,2,2,3,'1,4',-33
17245000,33,'2,4','6,8','3,6,7',4,1,3,5,8,2,1,6,5,-33
17283000,33,'1,3,4','2,5,7','2,3,4','3,6,7','1,4,5',3,3,3,2,1,3,4,100
17318000,33,'1,2','1,3','3,7',1,8,2,2,4,2,1,3,4,33
17324000,100,6,2,'5,6','4,6,7','4,5,8',3,4,9,2,2,6,5,100
17379000,33,'1,2,4','1,3,8','4,7','1,7',2,2,6,5,2,1,6,1,33
17434000,100,'1,3,4','1,3,6','1,2,5','1,2,3','1,8',3,1,2,2,2,5,4,33
17466000,100,'1,2,3','3,6','3,6,7','4,7',2,3,2,4,2,2,3,1,100
17506000,33,6,1,3,4,6,3,3,3,2,2,2,4,100
17537000,100,'1,2,3','1,2,6','2,5,7','3,4,7','2,5,8',3,1,4,2,2,'1,3',5,33
17647000,100,2,'1,2,3','1,2,3','1,3,5','1,4,7',3,3,7,2,2,3,5,100
17719000,100,'2,6','1,7','2,3,4','1,3,4','3,4,5',3,5,5,2,2,2,2,100
17736000,33,'1,2,4','1,3,8','4,7','2,4,6','2,5',2,5,6,2,1,2,'1,4',33
17737000,100,'1,2,4',1,'2,4,6','2,4,5','1,2,5',2,2,4,2,2,3,4,100
17740000,100,'1,2,4','2,3,6','3,4,7','3,5,7','1,2,5',3,5,5,2,1,2,4,100
17783000,-100,2,1,7,7,2,3,2,2,2,2,6,1,-100
17792000,100,'1,4,6','1,3,6','1,2,5','1,3,4','2,3',2,4,3,2,1,2,4,100
17794000,100,'2,4,5','1,3,6','2,4,7','3,4,7','1,4,6',3,4,7,2,1,5,4,100
17799000,100,'1,2,6','1,3,5','2,4,6','3,5,7','1,2,8',3,2,2,2,2,2,5,33
17812000,-100,1,'2,6,8','5,6,7','5,6,7','5,6,7',3,3,4,2,2,3,5,-100
17847000,-33,'2,3,4','2,6,8','1,2,5','1,3,4','1,3,7',3,3,6,2,1,3,4,100
17848000,100,'1,2,4','3,6','5,6,7','1,7',1,2,4,6,2,2,6,1,33
17895000,100,'1,2,3','1,5,7','1,4,5','1,3,7','1,5,6',2,4,4,2,2,'1,3','1,2,4',100
17895000,33,'2,3,4','3,8','3,6','3,4,7','4,7,8',3,2,2,1,1,6,5,33
17944000,33,'1,2,3','1,2,8','3,7','1,3','1,3',2,4,5,2,1,2,5,33
17984000,33,'1,2,3','1,3,6','2,6,7','2,4,5','4,5,8',3,1,2,2,1,6,5,100
18063000,33,'1,2,3','1,2,6','1,2,4','1,3,4','1,2,3',2,2,5,1,2,2,4,100
18114000,33,'1,2,6','1,6,8','2,5,6','3,5','2,4,8',3,2,3,2,2,3,4,33
18132000,33,'2,4',8,7,3,8,3,3,5,2,2,3,5,33
18194000,100,'1,3,6',3,'3,6,7','1,4,7','1,3,8',3,3,4,2,2,6,'3,4',100
18208000,100,'1,4,6','2,5,6','1,6,7','4,5,7','1,5,8',3,5,4,2,2,3,5,100
18242000,100,'2,4,5','1,3,6','2,5,7','1,3,6','2,3,4',2,4,6,2,2,2,4,100
18247000,33,3,1,5,7,'2,4,8',3,6,6,2,1,6,1,33
18319000,33,'1,2,4','2,6,7','5,6,7','1,5,7','5,7,8',3,1,3,2,1,'2,5',4,100
18333000,33,'4,5,6','1,2',6,'4,5,7',6,2,3,3,2,1,5,5,100
18346000,33,'1,3,6','3,6,7','2,3,7','1,4,7','1,8',3,3,2,2,1,5,3,33
18398000,100,'1,2,4','1,2,6','1,2,5','1,2,3','1,3,5',2,5,6,2,2,2,'3,4',100
18479000,100,'1,2,6','1,6,7','1,2,7','1,3,4','2,3,7',2,5,5,2,2,3,'1,4',100
18497000,33,7,8,'6,7',1,'7,8',3,4,4,2,2,'3,5','1,2,4',100
18498000,100,'1,2,5',8,7,'4,5,6','1,2,3',3,5,6,2,1,2,4,100
18508000,100,'1,2,4','1,6,7','4,5,7','2,3,6','1,2,5',2,4,7,2,2,2,3,100
18522000,33,'2,3,4','1,5,6','1,2,6','1,3,7','1,2,8',2,4,6,2,1,3,4,33
18541000,-100,4,8,7,7,4,2,5,4,2,1,2,4,-100
18568000,33,'2,3,4',8,5,'4,7','1,2,4',3,3,5,2,2,3,2,100
18620000,33,'2,4,6','1,6,8','3,5,7','3,6,7','1,3,5',3,3,6,2,2,4,4,100
18636000,100,'1,2,4',1,'2,4,6','1,4','1,3',2,6,5,2,1,2,5,100
18654000,33,'1,2,3','1,8','2,7','3,4,7','6,8',3,2,6,2,2,3,1,-100
18675000,100,'1,3,5','1,3,6','1,2,5','3,4,5','1,2,4',3,2,3,2,1,2,5,100
18693000,-100,6,8,3,3,'1,2',3,5,4,1,2,6,5,-100
18748000,33,2,'1,3,8','3,7','4,7',7,3,3,7,2,2,6,5,33
18767000,-33,'2,4,6','2,6,8','1,2,7','3,5,6','5,7,8',3,3,5,2,2,'1,2,5','3,4',-33
18805000,33,'1,2','3,6','3,6','3,5,7','1,3,8',3,3,5,2,2,3,1,33
18954000,100,'1,2,4','1,6,7','1,5,6','2,3,4','1,4,7',3,3,5,2,2,2,5,100
18984000,100,'1,3,5','3,6',2,3,'3,4',2,6,7,2,1,5,5,33
18990000,33,'2,3,4','1,6,7','2,4,6','1,2,4','3,5,7',2,5,7,2,1,6,1,100
18992000,33,'1,3,7','1,2,8','4,5,6','1,5,6','3,4,5',3,2,6,2,2,2,5,33
19032000,100,'1,3,4','1,3,6','3,4,5','3,4,7','3,4,8',3,4,6,2,2,4,5,100
19096000,100,'1,4,5','1,3,5','2,4,7','1,2,5','1,2,3',2,5,6,2,1,2,1,100
19159000,100,'4,6',8,3,'5,7','1,8',2,6,5,2,2,'3,5',4,100
19213000,33,'1,2,3','5,6,8','2,6,7','4,5,7','5,7',2,2,6,2,1,6,'1,3',100
19217000,33,'1,2,4','3,8',4,'3,4,6','1,4,7',2,5,7,2,2,6,5,33
19222000,-33,'1,2,5','1,3,8','2,3,5','1,7','4,5',3,3,4,2,1,2,1,-33
19226000,100,'1,2,4','1,3,7','2,4,7','1,4,7','2,3,5',2,4,6,2,2,3,'1,4',100
19323000,-33,'1,2,4','3,6,8','2,4,6','2,4,5','1,4,5',1,2,3,2,2,3,5,33
19412000,33,'1,4,5','1,3,8','2,5,7','1,2,4','2,3,4',2,5,5,2,2,3,5,100
19459000,-100,'2,3,6','1,7,8','2,6,7','4,6,7','2,4,7',3,5,2,1,1,6,1,-33
19464000,100,'1,5',3,'4,7','1,2,5','1,2,4',2,4,3,1,2,6,2,100
19597000,33,'2,3,4',8,'5,7','5,7','2,3',2,4,6,2,2,3,5,100
19605000,100,'1,2,3','2,6,7','1,4,5','3,4,7','1,3,8',2,3,4,2,2,3,4,100
19623000,33,'1,2,6',7,'3,7',7,8,3,2,2,2,2,6,1,33
19632000,33,'1,2,3','1,8','3,7','1,2,3','1,2,3',3,2,7,2,2,6,5,33
19637000,33,'2,4,5','1,3,7','2,4,6','1,2,3','1,2,3',2,6,6,2,2,2,1,100
19643000,-33,2,1,5,1,1,3,4,4,2,2,3,4,-33
19729000,33,'1,2,4',8,'2,6','4,6',8,3,1,5,2,1,2,5,100
19753000,33,'1,2,5',1,7,6,2,2,5,4,2,2,1,1,100
19786000,33,'2,6',3,'5,7','4,7','5,7,8',3,3,4,2,2,2,5,-100
19794000,100,'1,2,5','1,3,6','1,2,7','1,2,3','1,2,4',2,1,6,2,2,6,4,100
19825000,100,'1,2,4','1,5,6','2,4,6','1,3,4','2,3,5',1,5,5,2,2,6,5,100
19951000,100,'1,2,3','1,3,8','2,3,5','3,4,7','3,4,8',2,4,5,2,2,4,'1,2,4',100
19988000,33,'1,2,4','1,3,7','1,2,7','1,2,3','5,8',3,5,4,2,2,4,1,100
20032000,-100,'1,3,4',1,5,3,8,3,6,6,2,2,2,4,-100
20117000,33,1,'1,6,7','5,6,7','2,3,4','3,4,5',3,2,3,1,1,6,5,100
20196000,33,2,8,4,'1,7','1,4,5',2,5,5,2,2,2,4,100
20209000,100,'1,2,3','1,3,6','4,6,7','1,2,3','1,2,5',2,5,4,2,1,6,1,100
20260000,100,'1,2,3','1,6,8',2,'1,6,7','1,2,4',3,3,8,2,2,6,4,33
20260000,100,'1,2,5','1,3,6','2,3,6','1,4,6','2,4,5',3,1,1,1,1,6,5,-100
20270000,100,'1,2,4','1,3,6','2,6,7','2,3,4','1,2,3',2,5,7,2,2,6,5,100
20276000,100,'1,2,3','1,6,7','2,6,7','3,4,6','1,4,5',2,3,5,2,1,2,'3,4',100
20331000,100,'2,4,5','1,3,7','1,5,7','2,3,5','2,3,4',1,6,6,2,1,5,2,100
20332000,100,6,'6,8','4,5,7','1,2,3','1,4,5',2,2,2,2,1,5,5,100
20428000,33,'1,2','1,3','4,5','2,4','1,2,3',2,5,4,2,2,3,4,100
20433000,33,'1,2','2,3,6','6,7','1,3,7','3,4,8',3,1,3,1,2,2,4,33
20506000,100,'1,2',1,2,'2,3',1,3,2,4,2,1,2,5,33
20567000,-33,2,8,7,7,'5,7',3,2,4,2,2,3,3,33
20590000,33,4,8,7,7,2,3,4,6,2,2,2,1,100
20618000,33,'2,3,7','1,7,8','2,6,7','4,5,7','2,4,5',3,1,7,2,2,2,4,-33
20651000,100,'1,3,5','1,2,6','2,6,7','3,4,7',2,3,2,2,1,1,6,5,100
20715000,-33,'3,4,6',3,3,'1,7','2,5',3,4,6,2,1,2,5,-33
20779000,-33,'1,2',8,5,'1,2','1,2,3',2,5,5,2,1,5,5,-33
20854000,33,'2,4','3,5','1,7','1,5,7','3,5,7',3,5,4,2,2,4,4,-33
20871000,-33,'1,2',8,7,7,8,2,4,3,2,2,6,5,33
20891000,33,'1,2,3','2,6,8','2,5,7','3,4,7','7,8',3,2,7,2,2,'1,3',5,100
20894000,100,'1,2,4',6,'2,5',7,'5,8',2,3,2,2,1,2,1,100
20925000,33,4,8,3,1,7,3,3,2,2,1,5,5,-33
20929000,100,'1,6,7','1,6,7','5,6,7',7,1,3,1,4,2,2,3,4,33
20971000,33,'1,2,4','3,7,8','2,6,7','1,2,3','5,6,8',3,3,4,2,1,2,'3,4',33
20987000,100,2,2,'2,7','3,4,6','4,5,6',3,2,2,2,1,5,4,100
21045000,33,'2,3,4','3,5,6',7,'2,7','1,2,4',2,6,6,2,1,2,4,100
21051000,100,'1,2,5','1,3,6','5,6,7','1,3,7','1,2,4',2,4,3,2,2,2,4,100
21057000,33,'1,2,3','2,6','2,3,6','3,4','1,4,5',3,3,6,2,1,3,4,33
21064000,100,'2,3,6','1,6,7','3,5','1,7','7,8',3,4,5,2,1,3,5,100
21100000,100,'1,2,6','3,6,8','5,6,7','1,2,3',4,3,2,5,2,1,3,4,100
21120000,-33,'1,2,3','1,3,8','2,3,4','1,2,3','1,2,3',3,4,7,2,2,2,1,33
21128000,33,'1,2,4','3,5,7','2,4,5','5,6,7','1,4,5',2,5,5,2,1,6,3,100
21205000,33,2,'6,8','2,4','3,4','4,7,8',3,5,5,2,1,2,4,100
21261000,33,'1,2','1,2,3','2,5,7','3,4,5','2,5,6',2,4,3,2,1,5,5,-100
21295000,33,'1,2,6','1,2','1,5,7','5,6,7','1,7,8',2,4,3,1,1,6,5,33
21358000,100,'1,2,4','2,3,8','4,5','1,3','1,2',3,5,5,2,2,5,'2,3',33
21420000,33,3,7,2,3,5,3,6,8,2,1,6,4,100
21428000,33,'1,5','1,5','2,5,7','3,5,7','2,3,5',2,6,4,2,1,6,4,100
21469000,100,'1,4,6','2,7,8','1,2,5','3,4,7','2,4,6',3,3,9,2,2,3,5,100
21528000,100,'1,2,4','1,5,6','2,6,7','3,4,7','1,2,5',2,3,3,2,2,'1,3',4,100
21565000,100,'1,3,6','3,6,7','1,3,4','3,6,7','4,5,7',3,2,4,2,2,6,'1,4',100
21577000,33,'1,2','3,8',5,5,'1,2,7',2,4,3,2,1,6,5,33
21685000,100,'2,3,4','1,8','2,6,7','2,7','3,4,5',2,3,8,2,1,6,4,100
21706000,-33,2,8,5,1,4,3,2,3,2,2,3,3,100
21707000,100,2,1,'3,6','3,4','6,8',3,3,6,2,2,3,4,100
21767000,33,2,1,4,'3,4','1,5,7',2,5,7,2,1,6,5,33
21773000,33,2,'3,7,8','1,2,4','2,3,5','2,5,6',3,2,5,2,1,6,4,100
21803000,33,'2,3,4','3,8','2,5,7','1,3,4','4,7,8',2,3,3,1,1,6,4,33
21862000,33,'1,2,4','1,5,8','4,5,7','1,4,7','5,7,8',2,4,4,2,2,2,1,-33
21872000,33,'1,2','1,6','2,4,7','1,2,4',8,1,2,5,1,2,3,'1,4',33
21938000,100,'2,3,4','1,3,5','2,5,7','1,3,7','1,2,5',2,3,6,2,2,3,4,100
21938000,33,'1,3,4',8,7,'1,5,7','4,7,8',3,4,4,2,2,2,4,-33
21947000,33,'1,2,3','1,2,5','1,2,3','1,3,7','4,5,7',3,3,6,2,2,3,'1,4',33
22012000,33,'1,6,7','1,3,8','3,5,7',1,7,3,4,6,2,2,6,5,100
